id,current_price,market_cap,price_change_percentage_24h,ath,atl,high_24h,low_24h,timestamp
apenft,3.59919e-07,356340885,-0.75058,7.53e-06,2.98737e-07,3.66142e-07,3.59383e-07,11-12-2025 21-42-47
sonic-3,0.09411,356189441,-5.57582,1.029,0.09057,0.099668,0.09057,11-12-2025 21-42-47
fartcoin,0.354724,354180728,-8.40157,2.48,0.02002855,0.38726,0.338038,11-12-2025 21-42-47
helium,1.83,341297955,-5.05406,54.88,0.113248,1.94,1.8,11-12-2025 21-42-47
theta-token,0.341156,340516414,-5.49335,15.72,0.04039979,0.360987,0.330881,11-12-2025 21-42-47
gnosis,128.96,340334783,-3.89561,644.2,6.88,134.19,126.38,11-12-2025 21-42-47
gala,0.0072673,339587975,-7.19636,0.824837,0.00013475,0.00783083,0.00708202,11-12-2025 21-42-47
euro-coin,1.17,338013795,0.48545,1.35,0.052848,1.18,1.17,11-12-2025 21-42-47
flow,0.20653,336311657,-7.74365,42.4,0.156967,0.223865,0.205263,11-12-2025 21-42-47
jasmycoin,0.00680777,336260775,-6.24017,4.79,0.00275026,0.00726086,0.00672689,11-12-2025 21-42-47
chiliz,0.03289567,333772257,-0.34618,0.878633,0.00410887,0.0338914,0.0320596,11-12-2025 21-42-47
benqi-liquid-staked-avax,16.42,332429549,-9.13588,103.55,9.25,18.07,15.95,11-12-2025 21-42-47
arbitrum-bridged-wrapped-eeth,3474.96,330606068,-5.50358,5118.5,2837.73,3677.34,3419.88,11-12-2025 21-42-47
kinesis-gold,137.4,327861792,1.02244,141.45,44.06,138.0,135.05,11-12-2025 21-42-47
usx,0.999186,326762539,-0.00727,1.037,0.995216,1.002,0.998939,11-12-2025 21-42-47
vision-3,0.093737,322557699,-3.54179,0.223874,0.068741,0.097178,0.092439,11-12-2025 21-42-47
plasma,0.161668,319610419,-8.84908,1.68,0.157786,0.177479,0.159688,11-12-2025 21-42-47
pippin,0.317974,318505914,-7.03409,0.363995,0.0055459,0.358352,0.305983,11-12-2025 21-42-47
cap-usd,1.001,317764000,-0.15866,1.17,0.947752,1.008,0.993899,11-12-2025 21-42-47
frax-ether,3176.68,313225086,-5.61565,4906.89,1137.25,3367.48,3125.18,11-12-2025 21-42-47
binance-peg-busd,1.002,312978684,0.17819,1.15,0.896883,1.006,0.989916,11-12-2025 21-42-47
mantle-restaked-eth,3474.48,303445590,-5.50337,5306.91,1480.7,3676.83,3411.26,11-12-2025 21-42-47
polygon-pos-bridged-weth-polygon-pos,3209.33,303230336,-5.51716,4948.98,1390.73,3400.27,3159.78,11-12-2025 21-42-47
swissborg,0.307586,301647127,-2.05298,1.64,0.00502687,0.31936,0.295984,11-12-2025 21-42-47
unit-bitcoin,91491.0,299390613,-2.36526,126087.0,73355.0,93708.0,89380.0,11-12-2025 21-42-47
syrup,0.262142,298104666,-6.9872,0.653229,0.085229,0.284222,0.258154,11-12-2025 21-42-47
raydium,1.1,296045302,-7.99855,16.83,0.134391,1.2,1.076,11-12-2025 21-42-47
terra-luna,5.347e-05,293685643,-15.31372,119.18,9.99967e-07,6.405e-05,5.224e-05,11-12-2025 21-42-47
crvusd,1.001,293124732,0.01486,1.11,0.949016,1.013,0.995012,11-12-2025 21-42-47
layerzero,1.45,293064721,-5.46635,7.47,1.12,1.53,1.4,11-12-2025 21-42-47
wrapped-stx-velar,0.291839,291838958,-2.30317,2.96,0.236784,0.298747,0.291838,11-12-2025 21-42-47
mimblewimblecoin,26.44,291383370,-4.81489,38.81,0.298733,29.01,26.41,11-12-2025 21-42-47
compound-governance-token,30.12,291107765,-4.6381,910.54,22.89,31.65,29.95,11-12-2025 21-42-47
neo,4.12,290382325,-4.78163,198.38,0.078349,4.33,4.05,11-12-2025 21-42-47
vaulta,0.1804,290122146,-4.55666,0.778734,0.174132,0.189013,0.177636,11-12-2025 21-42-47
zksync,0.03343362,286099402,-7.08773,0.320983,0.02449451,0.03598407,0.03248363,11-12-2025 21-42-47
decentraland,0.148519,284919901,-6.26734,5.85,0.00923681,0.15845,0.145474,11-12-2025 21-42-47
monad,0.02625955,284612819,-6.23432,0.04882901,0.02201,0.0280055,0.02564996,11-12-2025 21-42-47
astherus-staked-bnb,931.57,279719066,-3.05437,1446.58,326.84,961.42,912.94,11-12-2025 21-42-47
frax,0.993719,278538152,0.04288,1.14,0.874536,0.994029,0.992287,11-12-2025 21-42-47
resolv-usr,1.0,274866786,0.08697,1.022,0.959194,1.001,0.99865,11-12-2025 21-42-47
gate-wrapped-btc,91564.0,274720947,-2.38373,125984.0,81369.0,93857.0,89745.0,11-12-2025 21-42-47
falcon-finance-ff,0.116821,273358047,-1.35807,0.770814,0.062102,0.118521,0.109871,11-12-2025 21-42-47
zebec-network,0.00281115,269336240,-5.21569,0.00700261,0.00069854,0.00296584,0.0027496,11-12-2025 21-42-47
wrapped-ether-mantle-bridge,3211.72,268804597,-5.62479,4962.42,1402.44,3405.35,3132.8,11-12-2025 21-42-47
sad-coin,0.267072,267730052,-28.75343,0.644158,0.228059,0.404583,0.228059,11-12-2025 21-42-47
wrapped-hype,28.52,265884176,-4.47129,59.06,9.43,29.85,27.0,11-12-2025 21-42-47
stable-2,0.01465742,265582443,-20.17547,0.02675502,0.01274285,0.01876258,0.01274285,11-12-2025 21-42-47
fidelity-digital-interest-token,1.0,264067237,0.0,1.0,1.0,1.0,1.0,11-12-2025 21-42-47
binance-wrapped-btc,91003.0,263909764,-2.87515,1893429.0,9771.06,93697.0,89118.0,11-12-2025 21-42-47
undeads-games,2.57,263286428,0.09907,3.15,0.040673,2.61,2.54,11-12-2025 21-42-47
janus-henderson-anemoy-treasury-fund,1.088,262982500,0.01213,1.088,1.085,1.088,1.088,11-12-2025 21-42-47
arweave,3.98,260316286,-5.42182,89.24,0.298788,4.21,3.87,11-12-2025 21-42-47
resolv-wstusr,1.12,259522702,0.05028,1.13,0.58995,1.12,1.12,11-12-2025 21-42-47
audiera,1.79,249806880,5.17572,2.02,0.067925,1.86,1.64,11-12-2025 21-42-47
